TRIP LENGTH DISTRIBUTIONS

Vehicle Trip Totals:

 Direction     HBW        HBNW         HB?         NHB

Direct      58360.8    110138.7         0.0     47473.2
Reverse     59498.8    110765.5         0.0     47474.4

Distributions:

  Length       HBW        HBNW         HB?         NHB

      0       0.000       0.000       0.000       0.000
      1       0.000       0.000       0.000       0.000
      2       0.000       0.000       0.000       0.000
      3       1.719       1.675       0.000       2.524
      4       6.041       5.999       0.000       6.072
      5       9.747       8.983       0.000       6.586
      6       5.404       4.965       0.000       6.449
      7       3.781       3.496       0.000       3.567
      8       0.000       0.000       0.000       0.000
      9       3.277       3.110       0.000       2.366
     10      10.184      10.683       0.000      28.484
     11       0.000       0.000       0.000       0.000
     12       0.000       0.000       0.000       0.000
     13       0.000       0.000       0.000       0.000
     14       0.000       0.000       0.000       0.000
     15       0.000       0.000       0.000       0.000
     16       0.000       0.000       0.000       0.000
     17       0.000       0.000       0.000       0.000
     18       0.000       0.000       0.000       0.000
     19       0.000       0.000       0.000       0.000
     20      32.894      32.451       0.000      26.260
     21       0.000       0.000       0.000       0.000
     22       0.000       0.000       0.000       0.000
     23       0.000       0.000       0.000       0.000
     24       0.000       0.000       0.000       0.000
     25       0.000       0.000       0.000       0.000
     26       0.000       0.000       0.000       0.000
     27       0.000       0.000       0.000       0.000
     28       0.000       0.000       0.000       0.000
     29       0.000       0.000       0.000       0.000
     30      17.142      17.819       0.000      10.676
     31       0.000       0.000       0.000       0.000
     32       0.000       0.000       0.000       0.000
     33       0.000       0.000       0.000       0.000
     34       0.000       0.000       0.000       0.000
     35       0.000       0.000       0.000       0.000
     36       0.000       0.000       0.000       0.000
     37       0.000       0.000       0.000       0.000
     38       0.000       0.000       0.000       0.000
     39       0.000       0.000       0.000       0.000
     40       6.284       6.931       0.000       4.920
     41       0.000       0.000       0.000       0.000
     42       0.000       0.000       0.000       0.000
     43       0.000       0.000       0.000       0.000
     44       0.000       0.000       0.000       0.000
     45       0.000       0.000       0.000       0.000
     46       0.000       0.000       0.000       0.000
     47       0.000       0.000       0.000       0.000
     48       0.000       0.000       0.000       0.000
     49       0.000       0.000       0.000       0.000
     50       1.937       2.044       0.000       1.211
     51       0.000       0.000       0.000       0.000
     52       0.000       0.000       0.000       0.000
     53       0.000       0.000       0.000       0.000
     54       0.000       0.000       0.000       0.000
     55       0.000       0.000       0.000       0.000
     56       0.000       0.000       0.000       0.000
     57       0.000       0.000       0.000       0.000
     58       0.000       0.000       0.000       0.000
     59       0.000       0.000       0.000       0.000
     60       1.232       1.392       0.000       0.728
     61       0.000       0.000       0.000       0.000
     62       0.000       0.000       0.000       0.000
     63       0.000       0.000       0.000       0.000
     64       0.000       0.000       0.000       0.000
     65       0.000       0.000       0.000       0.000
     66       0.000       0.000       0.000       0.000
     67       0.000       0.000       0.000       0.000
     68       0.000       0.000       0.000       0.000
     69       0.000       0.000       0.000       0.000
     70       0.301       0.381       0.000       0.134
     71       0.000       0.000       0.000       0.000
     72       0.000       0.000       0.000       0.000
     73       0.000       0.000       0.000       0.000
     74       0.000       0.000       0.000       0.000
     75       0.000       0.000       0.000       0.000
     76       0.000       0.000       0.000       0.000
     77       0.000       0.000       0.000       0.000
     78       0.000       0.000       0.000       0.000
     79       0.000       0.000       0.000       0.000
     80       0.023       0.025       0.000       0.014
     81       0.000       0.000       0.000       0.000
     82       0.000       0.000       0.000       0.000
     83       0.000       0.000       0.000       0.000
     84       0.000       0.000       0.000       0.000
     85       0.000       0.000       0.000       0.000
     86       0.000       0.000       0.000       0.000
     87       0.000       0.000       0.000       0.000
     88       0.000       0.000       0.000       0.000
     89       0.000       0.000       0.000       0.000
     90       0.035       0.044       0.000       0.008
