LINK VOLUMES

          Link Label             A ==> B     B ==> A

lienBidir_15168281292                  0.0            1281.2
lienBidir_15168264128                  3575.1         3485.4
lienBidir_27898405251                  1467.3         1472.3
lienBidir_264128331196                 253.0          158.3
lienBidir_26412827898                  1467.3         1472.3
lienBidir_331196414268                 2113.1         1518.8
conCentroide_4341964052                2749.9         2728.8
conCentroide_4341964852                2993.3         3013.6
Zone8VersRocadeCentreVille             21431.2        21237.3
Zone8TotorouteSudEst                   0.0            0.0
Zone8ptiteRouteFleuve                  0.0            0.0
lienBidir_702178889138                 5067.0         5025.2
lienBidir_702178605268                 16364.2        16212.2
lienBidir_889138880319                 5067.0         5025.2
conCentroide_1782112382                5903.6         3216.9
conCentroide_1782116823                0.0            1531.4
conCentroide_1782111516                3557.1         4748.5
lienBidir_l68232238280                 0.0            0.0
lienBidir_232151682                    18.0           18.0
conCentroide_3062003311                1860.1         1360.5
conCentroide_3062002641                3748.6         3748.7
conCentroide_3062003282                2962.2         3483.3
totoroute                              0.0            0.0
lienBidir_238280281292                 2934.3         2998.6
lienBidir_238280216394                 3196.2         445.2
lienBidir_281292280398                 934.5          2184.4
lienBidir_281292328258                 2890.3         2962.2
lienBidir_375311328258                 592.9          0.0
lienBidir_375311396363                 0.0            592.9
conCentroide_3353462803                5208.9         5201.5
conCentroide_3353462812                4758.8         4735.1
conCentroide_3353463753                959.7          957.4
conCentroide_3353463853                4141.4         4151.0
lienBidir_396363385395                 43.1           165.7
lienBidir_21639468232                  1549.4         18.0
routeZone2nord                         3418.2         3420.7
lienBidir_385395409395                 4232.5         4478.4
lienBidir_385395280398                 888.6          603.4
lienBidir_385395370459                 728.7          900.1
lienBidir_280398216394                 2178.0         3400.1
lienBidir_280398276529                 278.2          195.4
pont de MSP                            0.0            443.2
Pont de la citadelle                   2993.3         2570.5
lienBidir_485233501213                 0.0            443.2
lienBidir_521233576173                 0.0            0.0
lienBidir_521233549279                 419.7          641.1
lienBidir_493242521233                 419.7          197.9
Pont de la porte de France             1277.6         1261.6
lienBidir_405251485233                 0.0            0.0
lienBidir_414268402313                 318.4          318.8
lienBidir_414268493242                 967.6          1168.0
lienBidir_549279568312                 3433.3         3475.9
conCentroide_4822934932                3540.5         3541.2
conCentroide_4822935492                12254.7        12363.1
conCentroide_4822934573                5800.0         5823.3
lienBidir_568312594322                 2931.9         2950.5
lienBidir_568312605268                 6971.1         6836.0
lienBidir_402313375311                 957.4          959.7
lienBidir_402313396363                 43.1           165.7
lienBidir_594322568356                 1518.1         1516.6
lienBidir_594322696329                 1743.7         1763.8
lienBidir_457324414268                 1293.6         2104.7
lienBidir_457324402313                 682.1          806.6
lienBidir_457324497361                 7222.6         6310.4
conCentroide_563331568312              8538.5         8528.6
conCentroide_563331568356              8654.3         8648.9
lienBidir_568356672358                 776.3          756.8
lienBidir_497361409395                 1068.4         828.5
lienBidir_497361513378                 4188.4         4286.6
lienBidir_497361568312                 7762.8         7613.5
lienBidir_513378502514                 2998.6         5831.6
lienBidir_513378553468                 1329.3         230.0
lienBidir_513378568356                 5710.1         4074.7
lienBidir_409395396363                 592.9          0.0
UnivTramBelldone                       5043.5         5043.3
UnivDarty                              2640.7         2630.4
UnivTotoroute                          4597.8         4633.3
lienBidir_605268549279                 9528.2         9241.1
lienBidir_696329776353                 51.6           51.8
lienBidir_776353852375                 0.0            0.0
lienBidir_672358696329                 3351.2         3331.5
lienBidir_672358683419                 760.4          0.0
lienBidir_766393672358                 5091.5         0.0
lienBidir_766393776353                 2682.2         2692.3
conCentroide_7663937145                2692.3         7773.7
lienBidir_852375880319                 1632.2         1638.5
lienBidir_370459345565                 1536.6         0.0
conCentroide_3704593074                6140.9         5420.9
conCentroide_3074922765                884.0          0.0
conCentroide_3074922803                7244.4         7426.3
lienBidir_215493264626                 1691.2         1703.3
Zone2                                  4551.7         4542.3
lienBidir_276529345565                 427.7          128.6
lienBidir_345565331627                 461.2          0.0
lienBidir_345565379591                 1719.7         345.2
lienBidir_379591413611                 0.0            0.0
conCentroide_4524494093                4002.9         3404.0
conCentroide_4524494973                13171.1        13792.3
lienBidir_553468651437                 230.1          230.0
conCentroide_4464874524                11893.1        11876.3
lienBidir_446487370459                 6659.1         4230.9
lienBidir_446487379591                 5303.8         6982.7
lienBidir_564502553468                 201.4          2937.0
lienBidir_564502626555                 45.2           577.7
lienBidir_502514446487                 4571.8         3805.7
lienBidir_502514564502                 246.6          2700.0
conCentroide_4805555025                4049.5         4885.5
conCentroide_4805553795                7328.0         7023.5
conCentroide_4805554836                19562.2        19164.1
lienBidir_591594483622                 0.0            533.3
lienBidir_591594564502                 0.0            814.7
conCentroide_6134056514                4356.1         0.0
conCentroide_6134055683                10381.2        12004.0
conCentroide_6134056723                3335.3         7666.2
conCentroide_6134055534                2937.0         1300.6
lienBidir_683419766393                 0.0            0.0
lienBidir_683419651437                 230.0          4586.2
lienBidir_648491651437                 0.0            0.0
lienBidir_648491696545                 0.0            0.0
conCentroide_7145036965                7378.6         7436.4
conCentroide_7145036484                577.7          578.5
conCentroide_7145036834                230.0          5346.6
TotorouteE712_4_5                      7202.1         7253.5
TotorouteE712_4_2                      1632.2         1638.5
lienBidir_626555648491                 578.5          577.7
lienBidir_626555591594                 0.0            533.3
lienBidir_264626276529                 282.5          950.3
lienBidir_331627264626                 1770.0         2425.8
lienBidir_331627399699                 2670.4         1553.4
lienBidir_399699413611                 0.0            0.0
lienBidir_399699518709                 26.5           26.6
lienBidir_413611483622                 0.0            0.0
lienBidir_483622502514                 5897.3         3915.5
conCentroide_4886715187                0.0            0.0
conCentroide_4886714836                25061.4        22944.4
conCentroide_4886716166                7227.1         7990.2
conCentroide_4886713996                1526.8         2644.0
lienBidir_518709483622                 0.0            0.0
lienBidir_518709616657                 26.5           26.6
lienBidir_616657591594                 0.0            814.7
