name,prodHBW,prodHBNW,prodHBnoIdea,prodNHB,attracHBW,attracHBNW,attracHBnoIdea,attracNHB,vehTripsLeaving,vehTripsEntering,vehTripsIntraZonal
Zone1,7600.0,23040.0,0.0,5469.1,4502.1,12796.0,0.0,5469.1,16906.1,16950.0,2301.6
Zone10,16260.3,45336.6,0.0,7772.7,8236.2,16883.6,0.0,7772.7,27209.9,27326.6,6639.2
Zone11,6489.0,17545.5,0.0,8767.0,6763.3,21424.7,0.0,8767.0,19161.7,19152.9,3491.0
Zone12,3040.0,9216.0,0.0,22718.2,14949.3,57808.2,0.0,22718.2,36120.0,35936.2,5368.9
Zone13,19392.0,52992.0,0.0,21582.5,20120.5,49942.8,0.0,21582.5,43953.2,43951.8,16951.5
Zone14,22550.0,61050.0,0.0,19920.9,20555.4,44161.0,0.0,19920.9,40360.8,40406.0,21794.8
Zone15,11275.0,30525.0,0.0,17547.2,16310.8,41154.0,0.0,17547.2,32763.0,32701.9,11203.6
Zone2,4560.0,13824.0,0.0,4389.7,3993.5,10170.2,0.0,4389.7,11351.8,11362.8,2156.7
Zone3,5026.8,16642.4,0.0,4001.0,2819.1,9619.4,0.0,4001.0,12509.2,12540.0,1106.1
Zone4,5420.1,15112.2,0.0,6445.3,4928.2,15840.7,0.0,6445.3,16193.4,16196.5,1404.5
Zone5,7226.8,20149.6,0.0,5000.6,4359.5,11835.9,0.0,5000.6,16332.7,16371.3,1234.0
Zone6,3770.1,12481.8,0.0,4536.7,3223.7,11087.7,0.0,4536.7,11772.6,11779.7,1005.0
Zone7 - Universityy,5760.0,21600.0,0.0,5210.0,3957.7,12385.9,0.0,5210.0,16092.1,16123.1,1351.3
Zone8,1520.0,4608.0,0.0,18839.7,12518.7,47958.6,0.0,18839.7,28849.4,28682.2,4282.9
Zone9,11913.0,31920.0,0.0,5553.2,4565.2,12974.5,0.0,5553.2,21662.6,21757.7,2181.7
